#,INCIDENT TITLE,INCIDENT DATE,LOCATION,DESCRIPTION,LATITUDE,LONGITUDE,APPROVED,VERIFIED,CATEGORY,CATEGORY_DESC
206,Road from Croix-des-Bouquets to PaP damaged but passable,1/14/10 3:30,"Croix-des-Bouquets, Haiti",Drove from Cap Haitien - ALL IS GOOD from Montrouis to Cap. No Major damage. Noticeable damage starts at Croix de Bouquet,18.581233,-72.230457,1,0,3,Vital Lines
232,Missing Persons,1/14/10 5:21,Croiz-des-Bouquets,"I'm looking for Madame Eman, aunt Barbara  and Beatrice, uncle Fritznel (Pierre-Louis), and half sister Patricia. They live in Croix-des-Bouquets Ruelle Savanne Bond #26.",18.581233,-72.230457,1,0,1c,People trapped
409,Sodium hypochlorite generator,1/15/10 5:13,"Darbonne, Haiti","Sodium hypochlorite generators – have the capacity to produce about 133 L of 0.6% sodium hypochlorite solution per 8 hour batch (100 g equivalent chlorine per hour); each 7 ml of solution treats 20 L of water
From Michael Ritter [michael.ritter2@gmail.com]",18.971187,-72.285215,1,0,4e,Water sanitation and hygiene promotion
413,"One drum in Darbonne (18.488037°, -72.588556°)",1/15/10 5:30,"Darbonne, Haiti","0.6% sodium hypochlorite solution in 55-gallon drums, all unconfirmed at location, used for purifying water
From Michael Ritter [michael.ritter2@gmail.com]",18.971187,-72.285215,1,1,4e,Water sanitation and hygiene promotion
226,Looking for my dad,1/14/10 4:35,"Delma 65, Port-au-Prince",Please help me find my father Francouer Joseph Blanc  he was in Delma 65 Lue st.,18.544721,-72.305918,1,0,1,Emergency
149,Wilfred and Camille D.,1/14/10 1:08,"delmar, haiti","@MissDinNYC is looking for Wilfred and Camille D, asks if Rue Hyppolite or Delmar or Impasse Legros were badly hit?",18.543361,-72.305212,1,0,6b,Missing Persons
415,damaged Foyer des Filles de Dieu orphanage,1/15/10 5:51,"Delmas 19 Angle Rues Jeune Et Calao Port-au-Prince, Haiti","Reports of 5 killed among damage, article doesn't specify if more are missing. location: Delmas 19 Angle Rues Jeune Et Calao",18.539269,-72.336408,1,0,1,Emergency
340,MSF providing triage at La Trinite,1/15/10 12:05,Delmas 19 Haiti La Trinite Hospital,Medical care under tents continues in front of what was La Trinité trauma hospital,18.537153,-72.29439,1,0,4a,Health services
174,Jacqueline Barthelemy,1/14/10 2:13,"Delmas 19, Haiti",FB ID Jo Jenny: Delmas 19 rue sejourne #7 cell: 01150937463047 Jacqueline Barthelemy date de naissance 24 juin 1947 CANADIENNE,18.537153,-72.29439,1,0,6b,Missing Persons
7,Collapsed Building -- People Trapped,1/12/10 9:55,"Delmas 19, Rue Mackendal #8 Port-au-Prince, Haiti","My mother is part of a medical team that had just arrived in Port-au-Prince. We received a text that she and two others are trapped beneath the rubble of their guesthouse:
Wall’s International Guest House
Delmas 19, Rue Mackendal #8",18.539269,-72.336408,1,0,1a,Collapsed structure
110,"Missing Persons: Therese Alice Georges, Madam Gesnel Simon, Alerte Nelson",1/14/10 1:51,"DELMAS 20 RUE BONNET #1 PORT-AU-PRINCE, HAITI","I am concerned about the whereabouts of my mother THERESE ALICE GEORGES also known as MADAM GESNEL SIMON. Also I am concerned about my Aunt ALERTE NELSON who live in DELMAS 20 RUE BONNET #1 PORT-AU-PRINCE, HAITI. If any information is found PLEASE contact me ASAP.",18.549644,-72.322054,1,0,6,Persons News
51,Looking for family,1/13/10 6:25,Delmas 3,"We are looking for our cousins in Delmas 3 Guilda, Marie-Gerald and Jimmy (or anyone in the area) please let us know !
or have them call us please. we haven't heard a thing since the incident. Email me at ladysica@hotmail.com 
thank you very much ! May God bless you !",18.539167,-72.335,1,0,6b,Missing Persons
319,Survivors,1/15/10 9:50,Delmas 31 Rue Marien,Ariette Lamarre &amp; Yamiley Jean Louis families survived,18.548302,-72.346928,1,0,6,Persons News
176,Marie Raymonde Lafortune,1/14/10 2:15,"Delmas 31, Haiti",Missionaries of Charity Compound at Delmas 31 rue 6 de Larnage. The babies and children are ok as well as the sisters and volunteers.,18.560333,-72.301679,1,0,6,Persons News
329,"Bridge Damaged, Delmas 31",1/15/10 9:57,"Delmas 31, Port-au-Prince","THERES A BRIDGE IN DELMAS 31 THAT IS DAMANGED, THERES NO FOOD AND NO GAS YET",18.560333,-72.301679,1,0,3b,Road blocked
128,Looking for Rose Kerline Petit-Frere,1/14/10 10:40,delmas 33,"Rose Kerline Petit-Frere
missing. if anyone seen her or know anything about her please call: 954-643-1605",19.103648,-72.290039,1,0,1,Emergency
300,La Plaza Hotel in Delmas 33,1/15/10 6:27,Delmas 33,i just got word from my family in delmas 33 that The Plaza Hotel Has Collapsed.!,18.559445,-72.295671,1,0,1a,Collapsed structure
138,PREVILLE IN DELMAS 33,1/14/10 5:42,Delmas 33,"IF ANYBODY HAVE SEEN ANY MEMBER OF THE PREVILLE FAMILY LIVING IN DELMAS 33 (WIDLY, ERIK, LOVELY ETC) PLEASE LET US KNOW WE ARE DESPERATE please contact via email eelenaa@msn.com",18.544722,-72.302778,1,0,6,Persons News
237,Trying to reach Guy Amos Marcelin Dalmas 33,1/14/10 5:42,Delmas 33,Please contact if you have seen or know any information. melissaholbrooks@aol.com,18.544722,-72.302778,1,0,6b,Missing Persons
230,MISSING PERSON   -Jean-Claude Germain,1/14/10 4:49,Delmas 33   Hotel Chandelier,"Last Location Hotel Chandelier
We are desperately trying to find any information on our brother who been missing since the the Quake in Haiti. He is an american citizen on business in Haiti. The last conversation with him took place around 11 am Tuesday Jan 12th. We have not heard from him since. He is 5'8 235 lbs light skin dark hair, 60 years old male. His name is Jean-Claude Germain (Kalouf)",18.544722,-72.302778,1,0,6b,Missing Persons
377,Makeshift hospital in soccer field at Matthew 25,1/15/10 2:51,"Delmas 33 Haiti, #6 Rue A. Martial",There is a makeshift hospital in soccer field at Matthew 25,18.559445,-72.295671,1,0,4a,Health services
191,WIDLY PREVILLE,1/14/10 2:40,"Delmas 33, port-au-prince",ShantiiLaDiosa @InternetHaiti WIDLY PREVILLE - DELMAS 33 #relativesInHaiti,18.559445,-72.295671,1,0,6b,Missing Persons
178,Gertrude Garraud-Pascal,1/14/10 2:21,"Delmas 40, Port-au-Prince","ray Looking for Gertrude Garraud-Pascal, Delmas 40 #relativesinhaiti",18.537153,-72.29439,1,0,6b,Missing Persons
238,US Citizen living in Haiti,1/14/10 3:11,"delmas 48, Musseau, haiti","I'd like to report that my father, a us citizen, lives in Musseau. His name
is George Sada. He is registered with the US embassy. He lives at #8 Rue
Merisier Prolonge in Musseau. He in near Delmas 48 and Delmas 60. He can be
reached by Rue Merisier or Impasse Roussan Prolonge.
I spoke with him on Weds morning at 3:30 and he seemed disoriented and could
not tell us if he had enough food and water for a couple of days. We can no
longer reach him and are very worried. He is 71 years old and a  cardiac
patient. He has medicine but we can't be sure he is taking it. He was afraid
to go back into the house and we don't know if it is still structurally
sound. He is alone and we can't reach anyone around him to go and check on
him.
My mother used to work for the US embassy and we always keep in touch just
in case something happens.
Can you find out any information regarding my father? Maybe if there is a
rescue team in the area someone can check on him.  He told me that there was
a hotel up the street from him that collapsed but that his immediate
neighbors are ok.
Thank you for any information you can gather.
Christine Evans
Kiki@fourpirates.com
Cell 847 277 1384
Home 847 277 1384",18.533918,-72.296364,1,0,4,Response
91,Searching for family members,1/13/10 12:26,delmas 65,"Needs info on severa family members. Delmas 65 we are ooking for Veronica, mother of Annecesse &amp; Hermithe Bernard, who was visiting. Also Mirmonde Casimir our cousin in that area.",18.542524,-72.305403,1,0,1,Emergency
68,Looking for the Laurole Family,1/13/10 8:43,Delmas 65,"Ketlie Laurole and her children
Liviy Laurole",18.544722,-72.302778,1,0,4,Response
180,Fritz Lucien,1/14/10 2:20,"Delmas 65, Port-au-Prince",imjuscrysy RT @pretty_locd_UP: RT @JMLucien Anyone who can reach Fritz Lucien get at me. He is a 71 year old male in Delmas 65. #relativesinHaiti,18.537153,-72.29439,1,0,6b,Missing Persons
333,looking for family in haiti,1/15/10 11:18,Delmas 73,"tamara,dawinie,fedline last name sonfils, my son father jude larose.and my mom family uncle, aunt, cousin last name possible",18.544722,-72.302778,1,0,1,Emergency
127,Searching for Magalie Jaccy,1/14/10 10:32,Delmas 73,Could you please help me find my aunt named Magalie Jaccy? She lives in Delmas 29. My mom does not know what to do because we can not get in contact wih her. The cell towers are all down. We are worried...my mom has been having trouble sleeping since hearing about the earthquake. Please help us!!!,18.544722,-72.302778,1,0,1,Emergency
61,HELP ME FIND MY SISTER NADIA CADET AND HER FAMILY,1/13/10 7:58,Delmas 73,"If anyone is listening in Haiti right now please do go to:
7 VILLAGE ULDECA, DELMAS 33, PORT-AU-PRINCE
My sister NADIA CADET, husband FRANTZ CADET and their 14 years old daughter CHRISTELLE CADET are missing. SEE link below for more details:
http://www.ireport.com/people/apolicar?viewingAsOthers=true&amp;view=documents
Thank you for support and prayers.",18.544722,-72.302778,1,0,1,Emergency
240,Missing Person,1/14/10 6:09,Delmas 73,Dr. Claude Demesmin..&quot;DOC&quot; Delma 29 #12...please anyone call me 908-247-8417..,18.544722,-72.302778,1,0,1c,People trapped
215,"looking for relatives margalie, jodanine and baby boy",1/14/10 3:40,Delmas 73,"delmas 75 entree catalpa rue pass-flore #5
port-au-prince",18.544722,-72.302778,1,0,1e,Earthquake and aftershocks
52,Looking for Pierre Albert Maurice and family,1/13/10 6:30,Delmas 73,Where is he?,18.544722,-72.302778,1,0,6b,Missing Persons
291,Missing Person: Yevette Alliance,1/14/10 11:45,Delmas 73,"Yevette Alliance
Sister is looking for her Ginette Beavzais from NY.(contact) michelle.greene31@gmail.com",18.544722,-72.302778,1,0,6b,Missing Persons
166,"Henri Robert Alcindor, Puit Blain",1/14/10 1:43,Delmas 75 &amp; Rt de Freres,"Missing
@Marilu_Acosta: Henri Robert Alcindor lives Puit Blain b/w Delmas 75&amp;Rt de Freres",18.536298,-72.293129,1,0,6b,Missing Persons
203,"63 people still alive - Delmas 95, Caribbean Supermarket",1/14/10 3:13,"delmas 95, port-au-prince",63 people still alive in Carribean Market. A survivor sent a text so we could send out help.  REGINE MADHERE TEXTED THAT SHE'S ALIVE!!!! in Carribean Super Market Delmas 95,18.537153,-72.29439,1,0,1,Emergency
352,Mobile clinics,1/15/10 1:34,Delmas Port-au-Prince,"In the Delmas section of Port-au-Prince, Dr. Patrick Almazor of PIH/Zanmi Lasante reports that he and several other doctors have set up mobile clinics. “We have a lot of fractures,” he wrote in an email. “We are running out of meds, I’m on my way to St Marc [a facility operated by PIH's partner organization Zanmi Lasante] for supplies.”",18.543907,-72.304802,1,0,4a,Health services
223,Children Trapped &amp; others without water,1/14/10 4:21,"Delmas school petits poucieres, Delmas 3 #29","Children are both still trapped and some outside without water. Delmas school petits poucieres, Delmas 3 #29",18.543361,-72.305212,1,0,1,Emergency
77,Looking For Grand-parents,1/13/10 7:34,"Delmas, Hairi","Looking for Emmanuella Dasque, Joseph Gabriel Dasque.. US citizens. Live @ Delmas 41 # 18bis. We haven't been able to get in contact with them for 2 days now... both pass 60 yrs of age... please Help give me a sign at least",18.543361,-72.305212,1,0,1,Emergency
190,Hope Hospital/Hospital Espoir - functioning,1/14/10 2:35,"Delmas, haiti","everyone OK, hospital is taking on victims of the earthquake.",18.543361,-72.305212,1,0,4a,Health services
384,The Magnitutude of a Disaster,1/15/10 1:10,"delmas, haiti","Some of the survivors gathered at a makeshift camp on Thursday, while others pulled mattresses into the streets. Looters took electronics and bags of rice from a damaged supermarket here, according to news reports. The residents here are among the city's youngest...",18.543361,-72.305212,1,1,4c,Shelter
60,Looking for my father; American citizen,1/13/10 6:26,"delmas, haiti","Help - Looking for my father
~~~~~~~~~~~~~~~~~~~~~~~~~
I am looking for my father, Jean V. Honore, he is in Delmas 3, he is an american citizen.  I have not been able to get a hold of him.  I can be reach at 215-651-3781. please help!",18.543361,-72.305212,1,0,6,Persons News
173,"Pierre-Canel jean-Emmanuel (Jean Jean), wife Martine and 1 year old son",1/14/10 1:59,"delmas, haiti","LOOKING FOR ANYTHING ON PIERRE-CANEL JEAN-EMMANUEL(JEAN JEAN) WIFE MARTINE 1 YR OLD SON XAVIER FROM DELMAS 
Delmas 19 rue sejourne #7 cell: 01150937463047",18.543361,-72.305212,1,0,6b,Missing Persons
42,"Looking for the Gustave Family (Sabine, William, Naika, Gianni)",1/13/10 5:41,"Delmas, Petion-Ville","Any information, please send to JGORDON11203@gmail.com
The family lives at Delmas 99 #9
Naika and Gianni attend College Antillais, so any information regarding the school and the safety of the students would help
Sabine owns a gift shop in Delmas.
Any information on any of these topics will be a tremendous help.....
Thanks",18.541954,-72.306175,1,0,6b,Missing Persons
278,Partners in Health open Mobile Clinics,1/14/10 9:44,"Delmas, Port-au-Prince, Haiti","In the Delmas section of Port-au-Prince, Dr. Patrick Almazor of PIH/Zanmi Lasante reports that he and several other doctors have set up mobile clinics. “We have a lot of fractures,” he wrote in an email. “We are running out of meds, I’m on my way to St Marc [a facility operated by PIH's partner organization Zanmi Lasante] for supplies.”",18.543361,-72.305212,1,0,4a,Health services
150,Marie Carmel Charles,1/14/10 1:12,"delmas, port-au-prince, haiti",@LadyDior47: Looking for my aunt!!! MARIE CARMEL CHARLES!!!!!,18.543361,-72.305212,1,0,6b,Missing Persons
145,Bontemps family,1/14/10 12:41,"delmas, port-au-prince, haiti","Missing people, the Bontemps family in Delma",18.543361,-72.305212,1,0,6b,Missing Persons
62,Hôpital Albert Schweitzer Operational,1/13/10 1:05,"Deschapelles, Haiti",Dr Michele Barry at the Stanford School of Global Health is directly involved with this hospital located 40 miles NW of Port-Au-Prince and confirms that they are currently operating with full staff helping victims. They are quickly running out of medical resources and funds though.,19.083333,-72.5,1,1,4a,Health services
277,Hopital Albert Schweitzer Haiti inundated with patients,1/13/10 1:56,"Desjardines, Haiti","We were not affected by the quake - only small tremors. However, since last night we have been inundated by patients, mostly from PauP and mostly with leg and arm, as well as crushing, injuries. At 20:30, we are still receiving patients who come in the back of tap taps, open-back pickup trucks which serve as taxis throughout Haiti. Every bed, gurney and bench is occupied, and we continue to do lab tests, X-rays and surgeries. Our all-Haitian medical and nursing staff have been excellent, serving without a break for 20 hours.",19.073962,-72.493861,1,1,4a,Health services
219,Hospital functional,1/14/10 4:03,Dessalines,"Largely undamaged, hospital functional, large influx of displaced
They felt the quake there, but all are well and none of their buildings were harmed. They are seeing an influx of refuges from Port-au-Prince in their clinic and the hospital in Dessalines is full.",19.2579,-72.517319,1,0,4a,Health services
124,"MISSING PERSONS: Marleine Comprere, Charlot family",1/14/10 1:24,"Diquini 63, Bizonton 51 Rue Oriol Dos Le Cardinal #20, Port Au Prince","My cousin Marleine Comprere along with my sister (leonise Charlot), my son (Schneider Charlot), and my daughter (Jessica Charlot) have been missing since the quake. Could anyone help me. They reside at Diquini 63, Bizonton 51 Rue Oriol Dos Le Cardinal #20, Port Au Prince, Haiti. Know phone number is (509) 3661 6071, (509) 3627 2727 or (509) 3457 0652. Please I am begging for help to locate them.
contact:
Alain Charlot
(239) 200-3973 or (239) 234-5056",18.53874,-72.334242,1,0,5,Other
289,orphanage with all children ok,1/14/10 10:00,"Fontamara 43 Village Royale #10 Port au Prince, Haiti",Foyer de Sion orphanage in Fontamara- all children out and ok,18.539269,-72.336408,1,0,6,Persons News
325,Foyer des Filles de Dieu,1/15/10 11:01,Foyer des Filles de Dieu,"The site would not permit me to post a comment in reply to the request for information about this orphanage (security code issue, weird).  There is an update on the Foyer des Filles de Dieux orphanage here:  http://resurrectioncatholic.org/
Anyone with additional verified information, please update with a comment.  Thank you.",18.554485,-72.339478,1,0,6,Persons News
123,Functioning Hospital in Freres,1/14/10 10:22,"Freres, Haiti","Functioning hospital in Freres, possibly named Hôpital de la Communaute Haitienne",18.521262,-72.276349,1,0,5,Other
405,The Magnitude of a Disaster,1/15/10 1:02,"Ft. Liberte, haiti",Very little damage or injury,19.661607,-71.836379,1,0,5,Other
175,Road from Gonaives to Cap Haitien reported good,1/14/10 2:14,Gonaives,Reports are good for Gonaives to Cap-Haitien.,19.75622,-72.199669,1,0,3,Vital Lines
112,Grand Goave,1/14/10 9:01,Grand Goâve,"Got an e-mail from lifeline Christian Center that at their center in Grand Goave there are a lot of injured people making their way there for help.  They have several injured people there.  They need medical supplies and food.
Please send them help!!
Thank YOU",18.428889,-72.770556,1,0,4,Response
115,Lifeline Christian Mission - Medical help and Fuel Requests,1/14/10 9:27,Grand Goâve,http://www.lifeline.org/news/Haiti.htm,18.428889,-72.770556,1,0,4a,Health services
250,Grand Goave Children's Home okay,1/14/10 1:00,"Grand Goave Children's Home okay, Haiti",Grand Goave Children's School is okay.  No injuries.,18.424764,-72.7703,1,0,6,Persons News
399,Missionary Building in Grand-Goave needs help,1/15/10 4:01,"Grand Goave, Haiti",Unverified call for help with coordinates of mission building in Grand Goave that is in need of assistance,18.424764,-72.7703,1,0,1,Emergency
201,Please help me find my family in Gressier Haiti,1/14/10 3:09,Gressier,"If anybody has any information about la colline Gressie Haiti please let me know, I have families there and i can't get a hold of them, i've been calling but no response. Please help me locate my families, their names are Benicia Haitus my mother and kid, Andre Vertus and wilner Aritus and wife and 6 kids. email me at gessica832002@yahoo.fr or call 239 961 5247. Thank you so much!",18.55,-72.516667,1,0,1,Emergency
133,Looking for/Recherche: Aspazie et Jephte Aupont,1/14/10 11:07,Gressier,"Aspazie and Jephte live in Columbier, Gressier on the national road leading to the south their phone#  3624-5583 37043894",18.55,-72.516667,1,0,6,Persons News
321,Pastor Salnave Desarmes,1/15/10 10:42,"gressier, haiti","Looking for any information about Pastor Salnave and Blonde Desarmes or the Mission Evangelique Chretienne d'Haiti in Gressier.
Email any news to cotcjim@verizon.net",18.538282,-72.529356,1,0,6b,Missing Persons
412,Sodium hypochlorite generator,1/15/10 5:26,"Gros Morne, Haiti","Sodium hypochlorite generators – have the capacity to produce about 133 L of 0.6% sodium hypochlorite solution per 8 hour batch (100 g equivalent chlorine per hour); each 7 ml of solution treats 20 L of water
From Michael Ritter [michael.ritter2@gmail.com]",19.665641,-72.674264,1,1,4e,Water sanitation and hygiene promotion
305,survivants,1/15/10 8:31,Guadeloupe,je recherche des nouvelles de survivants à Petit Goave,18.439227,-72.833862,0,0,6,Persons News
344,Sacre Coeur Hospital Up and Running,1/15/10 12:42,"Hôpital Sacré Coeur Milot, Haiti","Hopital Sacre Coeur (Sacred Heart Hospital) in Milot, Haiti is ready for 200 patients",19.609271,-72.213431,1,0,4a,Health services
306,Des nouvelles,1/15/10 1:36,Haiti,"Je vousrais avoir des nouvelles de Joseph jean Garnel, travaillant vers Turgeau et Habitant sur Pétionville. Il est connu dans la communauté française de Pétionville. SVP",18.50983,-72.285553,0,0,1,Emergency
24,Earth quake SERIAL!,1/13/10 6:33,Haiti,"Yes, there was one quake 7.0 But there is an ongoing serial up to 5.3! Still very dangerous for all.",18.479609,-72.312012,1,0,1e,Earthquake and aftershocks
122,MISSING PERSON: Odette Bazile,1/14/10 9:59,Haiti,"Please let me know if you find or see my mother. I'm desperately looking for her.  Her name is Odette Bazile. She is 70 years old.  Thank you
Darline Bazile
240-417-5684",18.516075,-72.405396,1,0,5,Other
410,Water purification kits,1/15/10 5:19,"Hinche, Haiti","A partner organization that distributes the same 5-gallon buckets and spigots along with solid granular NaDCC has the following supplies on stock in Hinche (19.142550°, -72.015083°): “We have materials for something like 1,000 complete units in Hinche (I think).  Buckets, chlorine dispensers, chlorine, rubber washers, retainer rings, etc.  I think we're short on spigots in Hinche.” 
Michael Ritter [michael.ritter2@gmail.com]",19.14366,-72.014592,1,0,1,Emergency
288,"People drive 4-5 hrs from PaP to Hinche for medical treatment, supplies",1/14/10 10:54,"Hinche, Haiti","Partners in Health report &quot;people stream into our hospital in Hinche from PAP - 4-5hr drive, but w/ docs/meds/supplies, and staffed OR&quot;",19.143431,-72.003891,1,0,4a,Health services
385,Injured moving from PaP to Hospital in Hinche,1/15/10 3:18,"Hinche, Haiti",Hospital in Hinche is receiving injured moving from PaP,19.143431,-72.003891,1,0,4a,Health services
19,Hospital du Canape Vert,1/13/10 10:51,Hospital du Canape Vert,Hospital providing emergency relief following the earthquake.,18.533328,-72.316604,1,1,4a,Health services
17,Hospital Universitario De Haiti,1/13/10 11:42,Hospital Universitario De Haiti,Hospital providing emergency relief following the earthquake.,18.539675,-72.340336,1,1,4a,Health services
357,MISSING PERSON - BRENDAN BECK @ Hotel Montana,1/15/10 1:48,Hotel Montana,"Working for USAID was in hotel at time of quake.
Additional missing people found here:
http://www.facebook.com/topic.php?uid=245595172631&amp;topic=11878",18.539269,-72.336408,0,0,6b,Missing Persons
141,MISSING PERSON: Walt Ratterman (Hotel Montana),1/14/10 9:07,Hotel Montana Haiti,"Walt Ratterman has not been heard from since the earthquake and was probably at the hotel montana.  
See http://currentmissions.blogspot.com for more information on Walt.",18.526492,-72.259827,1,0,1a,Collapsed structure
193,Anne Marie Sinvil,1/14/10 2:51,"house 23 or 33, Delmas 75, Port-au-Prince, Haiti",RT @Mecnoir66: how is the neigborhood l on delmas 75 i believe house 23 or 33..looking for Anne Marie Sinvil.have not heard from her,18.559445,-72.295671,1,0,6b,Missing Persons
130,"Food, supplies needed: Max Paul",1/14/10 1:35,"Impasse Inginac #7, Bourdon","My father Max Paul is in Bourdon. His house and neighbors' houses have been seriously damaged. They are in need of food and water. There are approximately 20 people who are congregated on his street. 
Max Paul lives in Impasse Inginac #7 which is in Bourdon. Here are the directions: When you're on Bourdon heading downtown, you make a left on Rue Garnier (it's before Bellevue). When you're on Rue Garnier, you make a right to Impasse Inginac (it's a 180 degree right). It's house #7 (on the left side). Google Earth Map to his house: http://bit.ly/8XJ2D6
Latitude: 18°31'57.16&quot;N
Longitude: 72°18'21.34&quot;W
http://www.ireport.com/docs/DOC-382113",18.532392,-72.305961,1,0,6,Persons News
311,SOS!!!,1/15/10 2:48,Jacmel,The city of JACMEL needs HELP!!! Please send some HELP to JACMEL!! Thank you,18.234167,-72.534722,1,0,1,Emergency
116,School collapsed w/children inside,1/14/10 9:21,Jacmel,from @RAMhaiti who got a call from Jacmel,18.238971,-72.534313,1,0,1,Emergency
113,Peace of Mind Hotel Jacmel Collapsed,1/14/10 9:03,Jacmel,People trapped inside. Need assistance digging out.,18.234167,-72.534722,1,0,1,Emergency
21,Ruined school,1/13/10 6:09,Jacmel,Ruined school,18.234167,-72.534722,1,0,1a,Collapsed structure
213,"Center Alcibiade Pommayrac Primary school is destroyed, secondary school damaged",1/14/10 3:30,Jacmel,"Centre Alcibiade Pommayrac, primaire is completely gone, the secondary is split in 2",18.238072,-72.53405,1,0,1a,Collapsed structure
371,Hospital St. Michel partially collapsed,1/15/10 2:14,jacmel,"Building partially collapsed, general triage area outdoors",18.238072,-72.53405,1,1,4a,Health services
276,Food Distribution (WFP),1/14/10 1:54,Jacmel,"WFP food distributions began on 13 January in Jacmel for approximately 3,000 people located around the airport. Distributions in Port-au-Prince are ongoing today. There are military escorts for a further 2,900 beneficiaries in three locations: Place Boyer, Villa Creole and Primature. These have been identified as areas where large numbers of people are concentrated.",18.238072,-72.53405,1,0,4d,Food distribution
50,Looking for Info on Adam/Karen Buhler,1/13/10 6:24,Jacmel,"Expected to be in a UN compound, possibly in Jacmel. Looking for any info, especially contact info. Got a short phone call Wednesday AM. Believed safe, but want to find any info.",18.234167,-72.534722,1,0,6,Persons News
72,Lookign for Dr. James PLantin in Jacmel,1/13/10 9:23,Jacmel,"PLease anyone let me know if my uncle Dr. James Plantin who resides in Jacmel is OK...He is not answering the phone .
Please let me know DjenaneDurosier@gmail.com
Thank you",18.25022,-72.479553,1,0,6,Persons News
44,LOOKING FOR ROSETAMA DESIRAL,1/13/10 6:00,Jacmel,PLEASE HELP!! IF YOU HAVE ANY INFO OR KNOW HER PLEASE CALL 347-664-1739 OR 1876-643-0905,18.242395,-72.534485,1,0,6b,Missing Persons
309,Dieuvent Loigene call Curacao please,1/15/10 8:50,Jacmel,Give us a sing your neighber in Curacao is loooking foor you we didnot sleep with this situation please let us now.,18.238482,-72.544098,1,0,6b,Missing Persons
225,People congregating at Jacmel Airport,1/14/10 4:26,jacmel airport,People congregating at airport,18.246144,-72.516117,1,0,6,Persons News
74,Looking for Dr. James Plantin Boucard,1/13/10 8:11,Jacmel Haiti,"Cherchez Dr. James Plantin Boucard- a Jacmel pour moi sil vous plait
~~~~~~~~~~~~~~~~~~~~~~~~~
Salut, C'est Djenane Durosier, la fille de Guy Durosier a New York. Je veux
prendre des nouvelles de mon uncle  le Dr. James Plantin qui habites a
Jacmel...
Please let me know if he's ok or if the people of Jacmel know about him...
Merci,
Djenane",18.238072,-72.53405,1,0,6,Persons News
129,Hotel Peace of Mind Collapse,1/14/10 10:44,"Jacmel, 777 Route De Meyer",Hotel collapsed with many inside,18.234167,-72.534722,1,0,1,Emergency
65,"Looking for: FOSAJ; Sue Frame, Flo McGarrell, Zaka Claudel, Hermane (Bonga) Desmonde",1/13/10 7:14,"Jacmel, FOSAJ, 5-7 Rue Sentann",No one working with the FOSAJ has been heard from stateside. We desperately seek information.,18.240927,-72.525215,1,0,6,Persons News
217,Cyvadier Hotel collapsed: owner okay,1/14/10 3:56,"Jacmel, Haiti",Hotel Cyvadier; the owner is apparently well but the main building to the complex has collapsed. They have a functioning generator.,18.238072,-72.53405,1,0,1a,Collapsed structure
188,PaP - Jacmel Road Cut [UPDATE: NOW OPEN],1/14/10 2:30,"Jacmel, Haiti","Road not passable UPDATED: Road now passable!  [January 14, 11am EST] SEE http://haiti.ushahidi.com/reports/view/323",18.238072,-72.53405,1,0,3b,Road blocked
379,Functioning port in Jacmel,1/15/10 3:03,"Jacmel, Haiti",Jacmel and Les Cayes have functioning ports.,18.238072,-72.53405,1,0,5,Other
387,All orphanages are OK,1/15/10 3:24,"Jacmel, Haiti",All orphanages in Jacmel are &quot;OK&quot;,18.238072,-72.53405,1,0,6,Persons News
369,airport can take charter planes,1/15/10 2:26,jamcel airport haiti,Kathleen Belot reports that charter planes can land at the airport near Jacmel.,18.25,-72.516667,1,0,4,Response
97,Jamcel refugee camp,1/14/10 12:04,"Jamcel, Haiti",http://twitpic.com/y0kv4 - refugee camp in jacmel again. #haiti #eq    29 minutes ago   from Tweetie,18.238072,-72.53405,1,0,4c,Shelter
279,Hundreds of Haitians being [medically] treated,1/14/10 8:13,Jimani,Hundreds of Haitians being treated in the DR border town of Jimani. They are in great need of supplies - sending several trucks Saturday.,18.492519,-71.850777,1,0,4,Response
363,PAHO/WHO establishing field office,1/15/10 1:10,Jimani,"PAHO/WHO is establishing a field office in Jimani to serve as a permanent bridge between this border city and to PaP about a 90 minute journey. The office will serve as a staging/transfer point for emergency humanitarian supplies and personnel needed in the haiti response operation. The same office will be used in the future for logistic purposes to assist the population with transport, the increased influx of trauma patients, fuel for hospitals and equipment.",18.492519,-71.850777,1,1,4,Response
196,"Treament for Injured - Jimani, DR",1/14/10 2:59,"Jimani, Domincan Republic","Relief Efforts being set up to treat injured.  Jimani, where some of the relief efforts have been set up to treat the injured, but as you can imagine it’s been a logistical nightmare.",18.492519,-71.850777,1,0,4a,Health services
360,PAHO/WHO establishing field office,1/15/10 2:08,"Jimani, Dominican Republic","PAHO/WHO is establishing a field office in Jimani to serve as a permanent bridge between this border city and to PaP about a 90 minute journey. The office will serve as a staging/transfer point for emergency humanitarian supplies and personnel needed in the Haiti response operation. The same office will be used in the future for logistic purposes to assist the population with transport, the increased influx of trauma patients, fuel for hospitals and equipment.",18.494261,-71.848869,1,0,4,Response
411,Sodium hypochlorite generator,1/15/10 5:24,"Jolivert, Haiti",Sodium hypochlorite generators – have the capacity to produce about 133 L of 0.6% sodium hypochlorite solution per 8 hour batch (100 g equivalent chlorine per hour); each 7 ml of solution treats 20 L of water,19.759645,-72.78489,1,1,4e,Water sanitation and hygiene promotion
