body,views,replies,title,time,date,id
"Assalamu Alaykum,
^^^Man
ur a ManU for life! ManU die hard. You do know a lot about football. I
challenge you in football knowledge. Or instead, let's have a football
knowledge challenge for all. So we ask a question, then if the answerer
gets it right, they ask the next question (a bit like the arabic game).
Before
i start, Liverpool is my chosen club. I'm disappointed though with
their performance. Lost to who? Brimingham. Inconsistency. But your
wrong, Owen ain't coming back. Morientes is in, and Owen might go to
arsenal next season in a swap for Reyes. 
It's a bit boaring
supporting ManU. They win too much. Not now though, so now i dont hate
them like i use to. I hate Arsenal, not because they're good or
anything, but because their supports brag, and brag and brag. I enjoyed
the their 4-2 defeat against ManU. I want Chelsea to win the league
though, i admire Mourinho. 
Liverpool use to get an edge over ManU, but not recently. 
Anyway,
i came to this topic hoping to discuss about football and Islam. I'll
give myself some time to talk about football b4 doing that. 
Ma'assalam. (Chelsea are Getaway Leaders :tongue:  :tongue:  :tongue: )",9619,497,Football,16:38:00,2/13/05,59
"Assalamu alaykum,
^^^Ah
hah. May be i got it. You sleep little because may be your there
thinking... when will Ruud boy be back, will Rooney score today, will
ManU fall in the hands of Blazer!!! :laugh: :laugh: :laugh: 
Ma'assalam :biggrin:",1645,71,How Many Hours Of Sleep Do,16:44:00,2/13/05,60
"Assalamu Alaykum,
Welcome
to Islam and IF. I see you haven't posted for some time, i hope its
that u've been to the Zaghreb muslim center and found mulimahs(muslim
women) to help you :laugh: .
May Allah guide you, help you, make you strong in your situation and grant you Paradise. Ameen. 
Basically
you seem to be OK in acquiring knowledge, like most of the stuff you
know i think was b4 you came to IF. And as you keep on learning, insha
Allah you will know what to do at all times, for Islam is a complete
religion and shows what muslims should throughout their lives at all
times.
I think what you will need is support as you feel lonely.
This insha Allah you will get from good muslimahs in Croatia where you
are. If you do not find the support you need, you can always come to
IF, and insha Allah you will get good muslimahs as friends who will
support you. You could also involve yourself in some discussion here in
IF which will make you feel less lonely.
Hope i can be of any
help. insha Allah if you need help and don't get it from any muslimah
you can contact me, i will try my best to respond and help. 
Just know that muslims care for each other and take comfort that muslims care for you.
Ma'assalam",1281,13,Problems Of A New Convert,19:08:00,2/13/05,61
"Assalamu Alaykum sister,
Right, b4 i forget like i did the last time, first question; Who ended Arsenal's record unbeaten run? Na that's to easy.
Which Spanish club was Mourinho part of, some time ago?
(Those it have to be ManU related questions? I hope not, bcos  I tried to think of some ManU history, a bit boaring [lol] )
I
agree Liverpool rely on Gerard, but not Carragher!!! I remember Henry
suaving him, he lost balance, blocked other Liverpool defender's who
tried to stop Henry, and then Henry went on to score, a goal which was
candidate for goal of the season 2003-2004. So can you imagine, poor me
had to see that goal several times!!! (If you know the game, then you
should know about what i'm talking about here)
Chelsea ! Chelsea
! Chelsea ! They're going, Hey ManU, catch us if you can! [lol lol
lol], don't tell me you have hope of many coming back on top, you
should be kidding if so.
You know i almost got to watch Chelsea
Vs. ManU at the beginning of the season at Stamford Bridge.
Unfortunately, i was due to go the Emirates (DUbai), with Fly Emirates.
How ironic!!!
Anyway, let see how it goes insha Allah.
Ma'assalam",9619,497,Football,20:35:00,2/14/05,62
"Assalamu Alaykum,
^^^De Montford, i know some guys going there. Anyway, Do you have some advice for us going to Uni's?
Ma'assalam",945,30,Is University Filled With Fitna?,21:12:00,2/14/05,63
"Assalamu Alaykum
Was
my question that easy? You got it sister, Mourinho was assistant coach
in Barcelona, when Barca sent Chelsea out of the Champions League, i
think that was 2000. so you have the next question, unless if someone
gets here first and asks b4 you so that the game can continue.
Dont
mind POA, Liverpool is much more interesting to watch and support. A
win means more to us than a win for ManU means to POA. And a loss!!! I
bet POA can't bear that. But we, we stay there and hang on.
How about you Crytal Eyes, who do you support, Please not Arsenal!!! 
Ma'assalam",9619,497,Football,19:49:00,2/15/05,64
"Assalamu Alaykum,
I
heard the prophet (S) advised people to marry virgins so that the 2
partners could play together. Apparently connection btwn partners that
aren't first mates is not optimal.
Anyway that's an advice, its
the better thing to do, but for me that doesn't rule out a divorcee.
It's not always the choice of a couple to have a divorce, and many
times they try thier best to work it out. So i accept that anyone can
end up divorcing and if i like the person, the person's religion is
good, and so on, i think i wouldn't mind the marriage. A divorcee could
be a better person than a virgin.
Ma'assalam",1935,78,.........,20:37:00,2/15/05,65
"Assalamu Alaykum
I
think the sunnah way of the prophet (s) is the best way out of this. He
would greet women first, but lowers his gaze while doing so, in that
way, he is not inviting them for a chit chat and he gives the salam.
I
think not to talk to the opposite sex at all is not the way forward at
al. The prophet (s) did not do that. For me reserve the big talk rule.
The prophet (s);
'Whoever believes in Allah and the Last day should speak good or keep silent'
So
as long as what ur saying, whether muslim or non-muslim is beneficial,
then fine. If no one agrees with me, they shouldn't be in this forum
then, they should hang out in their own private gender rooms. But why
do we all come to the General room, bcos we can all benefit each other
in some way.
Ma'assalam",574,21,Dealing With Female Colleagues,21:04:00,2/15/05,66
"Assalamu Alaykum
How
could we forget. I knew i forgot an example from sunnah. The prophet's
(s) first and best wife, khadijah was divorced not once, but none pther
than 3 times! She was 15 years older than him too!!! An ideal marriage
it turned out.
So when its time for, ii'll just look for good qualities in a spouse, not letting history play a big part. 
Ma'assalam :biggrin:",1935,78,.........,7:40:00,2/16/05,67
"Assalamu Alaykum,
May Allah help you through your tribulations.
I think its good that you realise and feel bad about doing things for the sake of your parents contrary to islamic rules.
In
many verses of the quran, When Allah says 'Be grateful to me, and to
your parents' . The worst sin in Islam is shirk, then disobedience to
parents according to a hadith of the prophet (s).
So as Albani
put it to you, do not obey your parents when it comes to sound islamic
rules, i.e. Salat, Ramadan, Iman (there are some parents that demand
out of obedience that their children should not believe in Allah and
his messenger (s) )...
So its a hard battle, just try as much as you can. dont feel down.
Ma'assalam",353,12,Why Is It Hard...?,12:42:00,2/16/05,68
"Assalamu Alaykum,
Thanks
sister MM CA for correcting me, 2 of Khadija's husbands passed away. I
need to revise my seerah of the propher (s) insha Allah.
Anyway
my point still stands, Khadija had 3 husbands b4 she married the
prophet (s), but the marriage was a match made in heaven, a perfect
match. She had good qualities, the prophet (s) had good qualities. they
liked each other, and that's what matters the most.
I know a
widow isn't the same as a divorcee, but in this context, they are a bit
similar as people are having ideas of being used. 
To me the
using idea should not be given importance, as i have been saying,
Khadija was used 3 times b4 the prophet (s), yet the marriage worked
out.
(I don't like the using idea, its degrading, but i just used it to make my point if that could make my point be understood)
Ma'assalam",1935,78,.........,13:58:00,2/16/05,69
"Assalamu Alaykum,
May Allah help you in your cause for Islam.
As
people have already told you, your destiny cannot be changed. A hadith
of the prophet in which he advised Ibn Abbas when Ibn Abbas was young
said' know that even if the whole world should gather in order to harm
you, they cannot harm you lest Allah has decreed so, and if the whole
world gather to benefit you with something, they cannot do so unless
and only if Allah will'
So, if Allah has decreed you will become
a pilot, then you will become a pilot through ways you did not even
imagine, and if Allah wills you will not be a pilot, even if all the
guys in IF pray for you and the whole world too, you will not become a
pilot. Just know that as long as you turn to Allah and pray to him, he
will decree what is best for you. He Allah is the best disposer of all
affairs( say the last sentence with conviction, in arabic it is
Hasbunallahu wa ni'imal wakeel).
As some people have advised
you, its not yet over. You can try finding out more about how you could
become a fighter pilot, going out of Canada, improving your eyesight,
praying to Allah.... It is indeed beneficial, it is like a horse was in
the time of the prophet (s), useful in battle and it was one of the
things he encouraged people to learn. 
May Allah choose what is best for you.
Ameen
Ma'assalam",433,9,My Hopes And Dreams Are All Gone... I Feel Sad,21:48:00,2/16/05,70
"Assalamu Alaykum sister,
Your approach towards your marriage isn't that bad as far as i know from what i understand in your post.
It's
sad that we don't always to get partners of our choice, especially for
unislamic reasons like ethnicity. So i don't think you should throw the
towel yet. Try talking to your parents about it if you think it could
be succesful, or get an imam nearby, uncle, auntie, grand parents,
parent's friend... anyone that you think could talk to your parents and
present a good case that, what is important in marriage is religion,
character... and that both partners love and trust each other and want
to get married. But then from now on, if you are in contact with the
guy, you stop until you receive a positive response, in which case you
islamically start the engaging procedures i.e. the whole walee's from
each side meeting the other...
For the istikharah, i hope you
understood how to use it. So do it, then reason out a choice of yours
for you will be guided in your choice, it doesn't have to be a vision
from a dream, dreams could be from shaytan and might deceive you. So
reason out yourself your choice which is best after istikharah.
I hope i can be of further help
Ma'assalam",371,15,Istikhara And Its Wait...,22:05:00,2/16/05,71
"Assalamu Alaykum to you all,
Again,
thanks a lot to all you contributed. I have benefited alot from you in
this forum. I'm fine and okay. I think now, thanks to Allah, with is
help, guidance and support, everything is in control.
Ma'assalam",988,27,I Think I Feel Lonely,22:13:00,2/16/05,72
"<!--QuoteBegin-Grace_of_Allah+Feb 13 2005, 07:39 PM--",1320,38,Getting Married,22:25:00,2/16/05,73
"Assalamu Alaykum
The
man who wants to cut his wife's hair, the man who aspires jihad, and
the man who recently had problems with injections ( i hope your still
not feeling sore from the injection)
I hope your not depressed anymore. 
May Allah be with you
Ma'assalam",391,11,Depressed,22:50:00,2/16/05,74
"Assalamu Alaykum,
Arsenal!!! Yuk!!! But why!!! I know this question is biased, but how can someone get to like Arsenal? I tried to, but no way.
Unfortunately
i didn't see the Tsunami support game due to schoolwork. But i saw the
highlights, Arsenal-Crystal palace. Arsenal played well (bullying amd
taking advantage like they like to with smaller teams- i know biased
comment!)
How did you enjoin Arsenal - Liverpool game this season :laugh:  :laugh:  :laugh: 
No hope for arsenal this season anywhere. So you better go to sleep :laugh:  :laugh:  :laugh: 
Let's see how well the Gunners do against West ham. The Gunners have no gun powder left!!!
Ma'assalam",9619,497,Football,23:21:00,2/16/05,75
"<!--QuoteBegin-muslim mujahid+Feb 16 2005, 10:30 PM--",1935,78,.........,23:30:00,2/16/05,76
"Assalamu Alaykum,
Never
heard the 4-6 hours hadith. Interesting, i would like to know the
source. 4-6 hours for the prophet is not bad considring his night
prayers which get his feet swollen and he eats very little. Yup, the
more one eats, the more they need to sleep. 
8 hours is too much? possibly, for i haven't read that Islam encourages sleepin a lot.
I
heard a companion of the prophet (s) didn't sleep for 20 years at
night, as the prophet (s) once said his a good man but doesn't pray
tahajjud. That's the best generation. Look at what they can do for the
deen!
Ma'assalam",1645,71,How Many Hours Of Sleep Do,23:35:00,2/16/05,77
"Assalamu Alaykum,
I usually go to Central Masjid London in Regents Park and i think it is possible i have seen an IF member. 
Also
maybe i have met an IF member in an islamic bookstore. There is one
particular member that i think i met in a bookstore because of their
catch phrases, 'Masha Allah' , 'Insha Allah' and so on. (i wont mention
the bookshop incase its that person)
Anyway we might all just be
wishful thinking, the chances are high that IF member's haven't seen
each other, of course unless it has been prearranged.
Maybe if
we all had our real pics in our icons, we could spot each other in the
masjid. Everyone seems reluctunt to do that so...splash!
Ma'assalam",1179,51,Do You Ever..............,0:00:00,2/17/05,78
"Some
Egyptians say that Egyptians are Arabs and Egypt is in the MiddleEast,
or even part of Greater Asia. Some say Egyptians are Africans and
learnt arabic only after Islam spread in North Africa, as at the time
of the Pharaoh and Musa, Egyptians spoke Hebrew? 
So is Doc African or Arab?",520,20,Where Is Egypt And Who Are Egyptians?,19:50:00,2/17/05,79
"Assalamu Alaykum
By the way, i asked Dot permission to call him Doc. 
I
thought Egyptians learnt arabic after the advent of Islam in the
6th-7th century. Before that they were speaking some other language. So
are they really Arabs?
Ma'assalam",520,20,Where Is Egypt And Who Are Egyptians?,21:32:00,2/17/05,80
"Assalamu Alaykum,
Allahu
akbar, a brother trying to memorise quran. I also just recently
memorised the 30th juz and extra and i think i know what your talking
about with the ayats that are similar. Insha Allah you will become a
hafiz and so to all other muslims who crave to become hafiz. There are
somany abundant blessings for hafiz. And i heard on the day of
judgement, each person's grade in paradise goes up according to the
amount of surahs (and ayats) they memorised, and hafiz intercede for a
certain number of people paradise.
From my personal experience,
do not overburden yourself at all, or else you might eventually quit,
mlike i temporarily did (ya, temporary insha Allah). Realistically
choose a certain number of ayahs you know you can memorise daily
without difficulty. i.e. 5 ayats a day. To begin with, it might be
annoying how slow you go and how much you think you cam memorise a day,
but after sometime you will see why.
The biggest challenge i
think with memorising the quran is revision. It's easy to memorise, but
to revise it so that it could be remembered forever is the tough bit.
For
me it's just too difficult to concentrate on school and memorising
quran, especially with my hectic IB program. so i usually do my
memorising in the holidays. I believe insha Allah, if i get time to do
nothing but memorise, i can finish insha Allah within a year.
People
use different methods that suits them in revising. From my experience
is, most of your allocated time for memorising is for revision, while
only a little bit for new extra ayahs or surahs. During this revision
time, revise your memory of about the length of 3 suratul Amma,
starting from Nas, then the next day the same length continuing from
were you stopped the previous day... until you finish all you
memorised. Then you start again from Nas till where you memorised.
During your revision time always practice the previously memorised or
else it will be too hard when you get to it in your revision.
Please PM me and tell me how it goes with you or if anything
Here are tips i got somewhere on the net;
Details of Fatwa Title of Fatwa Methods of Memorizing the Qur'an Date of Fatwa 
1/ July/ 2002 Date of Reply 
1/ July/ 2002 Topic Of Fatwa 
Qur'an Question of Fatwa 
Dear
scholars, As-Salaam `Alaykum. My question is: What is the best way to
memorize the QurØ£Â¢Ã¢â€šÂ¬Ã¢â€žÂ¢an? Can you also outline a schedule as to how
to do it? After memorizing one Juz' does one need to revise the one
memorized before moving forward? Jazakum Allah khayran. Name of Mufti
Islam Online Fatwa Editing Desk Content of Reply 
Wa`alykum As-Salaamu Warahmatullahi Wabarakaatuh. 
In the Name of Allah, Most Gracious, Most Merciful. 
All praise and thanks are due to Allah, and peace and blessings be upon His Messenger. 
Dear
brother in Islam, thank you very much for your question which shows
your great concern for the Book of Allah, the Glorious Qur'an. We
implore Almighty Allah to help you accomplish the task of memorizing it
and earning the great reward that lies in store for whoever memorizes
and adheres to its teachings, Amen. 
First of all, weØ£Â¢Ã¢â€šÂ¬Ã¢â€žÂ¢d
like to state that there is a great merit in memorizing the
QurØ£Â¢Ã¢â€šÂ¬Ã¢â€žÂ¢an and teaching it. The Prophet, peace and blessings be upon
him, says in this regard: ""The best amongst you is the one who learns
the Qur'an and teaches it."" (Reported by Al-Bukhari). 
Also
Abdullah bin `Amr ibn al-`As quotes Allah's Messenger, peace and
blessings be upon him, as saying: ""It will be said to the one who had
memorized the Qur'an [and acted upon it]: 'Recite the Qur'an (ascending
the levels of Paradise thereby) and do so slowly and melodiously just
as you used to recite slowly and melodiously in the world since your
abode will be at the place where you finish reciting your last verse.""
You see now that one earns tremendous reward in committing the Qur'an
to heart, acting upon it and conveying its message to others. 
As
regard your question, first of all, it's important to tell you that
certain rules and methods should be applied in memorizing the
QurØ£Â¢Ã¢â€šÂ¬Ã¢â€žÂ¢an so as to get the expected fruits. Thus, we would like to
present some of these rules which will assist you in memorizing the
Qur'an, may Allah benefit all of us by them. In doing so, we will first
shed some light on two perquisites for the act of memorizing the
QurØ£Â¢Ã¢â€šÂ¬Ã¢â€žÂ¢an and then elaborate on some practical steps to be
followed. 
A- Two Perquisites for the Act of Memorizing the QurØ£Â¢Ã¢â€šÂ¬Ã¢â€žÂ¢an: 
1- Having Pure Intention: 
Whether
in memorizing the Qur'an or doing anything for Allah, a most important
obligation is to purify the intention and correct the goal. Thus, one's
concern to memorize Qur'an and preserve it must be secured for Allah,
the Sublime and Exalted, for gaining His Paradise and attaining His
Pleasure, and for acquiring the great rewards that are reserved for
those who recite the Qur'an and memorize it. Therefore, there is no
reward for one who recites the Qur'an or memorizes it for people's
sake: to show off and to be heard of. 
2- Having a Truthful and Firm Resolution to Memorize it: 
A
person should have such an intent when commencing the task of
memorizing the Qur'an, in the midst of it and even after it when one
needs to return to what one has memorized in order to preserve it in
his memory. Without this firm resolution a person will treat the whole
matter lightly, will become tired easily and will not even be able to
achieve his goal. 
One of the ways a person develops a firm
intent is to know the excellence of the Qur'an and to aspire after the
reward mentioned above, and yearn drawing close to Allah through that
act of worship. 
B- Practical Steps for Memorizing the Qur'an: 
1- Correcting Pronunciation and Recitation: 
The
first step in memorizing the Qur'an is to correct the pronunciation.
This cannot be fulfilled unless one listens to a good and precise
reciter or memorizer of the Qur'an. 
The Qur'an cannot be learned
without a teacher. Allah's Messenger, peace and blessings be upon him,
was the most eloquent of all the Arabs. Yet, he learnt the Qur'an from
Angel Jibreel (Gabriel) orally. Also the Messenger, peace and blessings
be upon him, used to recite the Qur'an to Jibreel once in every year -
in Ramadan. And in the year that he died, he recited it to him twice. 
Likewise,
Allah's Messenger, peace and blessings be upon him, taught the Qur'an
to his Companions orally; and he heard it from them, after they had
learned it from him, time and again. 
Therefore, one is
required to learn the Qur'an from a good reciter, to correct one's
recitation on a first basis. Also, one should not rely solely on
oneself in learning the recitation of the Qur'an, even if one is
knowledgeable of the Arabic language and its principles. This is so
because in the Qur'an there are many verses that occur in a way
uncommon in the rules of the Arabic language. 
2- Adhering to a daily Limit for Memorizing the Qur'an: 
One
must set a daily limit for some verses of Surahs (Chapters) of the
Qur'an that one wishes to memorize. This limit should be reasonable and
possible to fulfill. It varies in its amount from one person to
another. 
One should resist the temptation to move to a new
portion of the Qur'an before perfecting the memorization of the current
portion that agrees with the set limit. This is a disciplinary measure
that helps one concentrate on one thing at a time, reducing
interruption, and enabling one to firmly establish one's current
portion in one's mind. 
3- Continual Recitation and Revision: 
Once
one has corrected one's recitation and set one's daily limit, one
should begin his memorization process by continual recitation and
repetition of one's daily portion. 
The memorizer must occupy himself with this through the hours of the day and night. He should recite it: 
-in the Fard (obligatory) as well the Nafl (optional) prayers, 
-while sitting in the Masjid (mosque) awaiting the Jama'ah (congregational) prayer, 
-for a few minutes after the Jama'ah prayer, 
-before going to sleep, 
-while waiting for anything (bus, dentist, etc.), 
-while riding a bus, car, etc. 
In
this way, it is possible for a person to practice his memorization even
when occupied with other matters, because one is not restricted to just
one specific time for memorizing the Qur'an. And with approach of night
one will find that one's set limit is memorized and firmly established
in one's mind. And if something unusual happens to occupy the memorizer
during the day, preventing him from completing the set limit, one
should not move onto the next portion of the Qur'an on the following
day. Rather, one should continue with what one had started the day
before, until the memorization is perfected. 
4- Reciting in a Melodic Tone: 
During
memorization, one should recite the Qur'an in a melodic tone,
beautifying the reading as much as possible. It is important the one
reads melodically because of the following reasons: 
a) Melodic
recitation conforms with the Sunnah of the Prophet, peace and blessings
be upon him, who used to recite the Qur'an in a melodious and tranquil
manner. 
<img src=""all%20posts%20by%20FAROUK1986%20-%20page8_files/cool.gif"" style=""vertical-align: middle;"" border=""0"" alt=""cool.gif"" emoid=""B)"" /",846,21,Remembering What You Have Memorised,21:56:00,2/17/05,81
"Assalamu Alaykum
Many
of you probably know French Connection UK (FCUK). The company is
obviously targeting an audience obsessed with the foul word. I use to
have FCUK shirts and had no doubt in my mind there was nothing wrong
with it, as it depends on intentions. But i started having doubts and
stopped wearing it, as i might not have a bad intention, but it can
have negative effects. What do you think?
Also clothing with
ambiguous words or writing like Fila, which looks like Lillah in
Arabic. Are they haram? How about shirts with pictures, pictures of
people, and how about football jerseys worn for fashion?
Ma'assalam",623,10,Ambiguous Words On Clothing,22:25:00,2/17/05,82
"<!--QuoteBegin-proudmuslimah+Feb 17 2005, 09:49 PM--",1179,51,Do You Ever..............,22:47:00,2/17/05,83
"Assalamu Alaykum
^^^
True indeed brothe Mansoor. So how do we classify different tribes and
culture, after they have adopted it for more than a 100 years, or what?",520,20,Where Is Egypt And Who Are Egyptians?,22:53:00,2/17/05,84
"Assalamu Alaykum,
I agree with all y'all. Worth the read, every single bit.
If
i could make a suggestion; include the title of the article as part of
the topic heading, so that people can see and hopefully read it.
Nevertheless the 'Must Read' gets people to check it out.
Ma'assalam :biggrin: 
(Btw
Ahmed, the NYC hot dogs are halal, atleast the ones i had i think, as i
always asked, they were beef sausages usually, and the hot dogs were
sold by muslim vendors most of the time)",721,12,When Friends Hurt Each Other,14:18:00,2/18/05,85
"<!--QuoteBegin-D&#045;ZiNeR+Feb 18 2005, 01:44 AM--",846,21,Remembering What You Have Memorised,19:04:00,2/18/05,86
"<!--QuoteBegin-D&#045;ZiNeR+Feb 16 2005, 05:48 PM--",659,18,Honour Killings,19:54:00,2/18/05,87
"Assalamu alaykum,
Paris, a juventus fan??? juventus are always under achieving. 
I've
been to several football stadiums, i must say highbury was one of the
least impressive, a tiny junkyard sought of place in the streets of
london, what a pity!!! and then Arsenal are bearly able to build a new
stadium at Ashton Grove or something like that. So Arsenal fans, stay
in the kitchen and don't go to highbury, the kitchen is a better venue.
Let's
get some questions from you guy's. so far there aren't interesting
matches to talk about, as Liverpool are having a rest and are leaving
the small boys to struggle amongst themselves for the FA cup.
Crystal eyes, i bet you were forced to become an arsenal fan. I can't see how someone can support Arsenal by freewill.
And ManU...let me see...
Ma'assalam",9619,497,Football,20:05:00,2/18/05,88
"<!--QuoteBegin-asian_gyal_4_lyf+Feb 18 2005, 08:41 PM--",520,20,Where Is Egypt And Who Are Egyptians?,20:52:00,2/18/05,89
"Assalamu Alaykum
I
read somewhere that atimes, shaytan plays about with our minds to make
us unconfortable about our wudu in prayer. If it happens regularly
after you have done your wudu or are about to pray, and not at other
times, then it is probably shaytan. You just ignore it, say a'uzubillah
and pray. 
You can test one day, when you do your wudu and
think you have released, go to the toilet, remove your pants and see if
you can smell anything. If nothing smells, i think it's shaytan playin
around with you.
Hope this helps
Ma'assalam",735,6,Best Food For Salah,14:33:00,2/19/05,90
"<!--QuoteBegin-seqina+Feb 18 2005, 09:15 PM--",988,27,I Think I Feel Lonely,19:39:00,2/19/05,91
"<!--QuoteBegin-Muslimah_uk+Feb 18 2005, 08:12 PM--",371,15,Istikhara And Its Wait...,19:52:00,2/19/05,92
"<!--QuoteBegin-ahm+Feb 19 2005, 07:39 PM--",520,20,Where Is Egypt And Who Are Egyptians?,20:20:00,2/19/05,93
"Assalamu Alaykum
Lovely sisQamr- the way put a part of the khutba in your own words.
Brother
Danish, i think somewhere on this page it mentions that the khutba is
from www.khotab.net and it was delivered by Sheihk Shuraim (Sudais' co
partner), it even mentions the date i believe.
Btw, I thought you would be from Denmark, but you live in the UK.
Ma'assalam",721,12,When Friends Hurt Each Other,20:28:00,2/19/05,94
"Assalamu Alaykum
Stay strong sister, May Allah help you through this.
I
suggest you checkout the cyber counselling section at
www.islamonline.net, professional muslim counsellors will help you out
insha Allah.
All i can do for you for now is pray. May Allah out of his Mercy help you. He is the Best disposer of all affairs.
I hope to get ideas of something that will help you and post it some time insha Allah.
Ma'assalam",660,18,Problems In A Weak Family,20:56:00,2/19/05,95
"<!--QuoteBegin-D&#045;ZiNeR+Feb 19 2005, 05:54 PM--",1320,38,Getting Married,21:03:00,2/19/05,96
"Assalamu Alaykum
I
think Rahim has provided you with sufficient information you need. So
i'll just pray for you. May Allah help you through all your troubles.
He is the bestbdisposer of all affairs.
Ma'assalam",440,4,Break This Cycle,21:09:00,2/19/05,97
"Assalamu Alaykum,
Interesting
poll. I enjoy eating on the floor and table as well. It also depends on
the setting. It wont be confortable eating on the floor if the space
wasn't meant for that. But like the space Sunshinez creates specially
for eating, that will be great i imagine. It is also the same eating on
a table not meant for eating, terrible infact. 
Nevertheless
i'm in a boarding school and its not suitable for me to sit on the
floor with no carpets or anything like that. I imagine blocking the
way, sitting on the floor with my legs folded1
D-Ziner, good
point about how when visitors come along, everyone eats on the dining
table. It's not only eating, there are so many other things that people
do for the sake of visitors, even though it might not be haram, sunnah
ways are usually scrapped away for their sake.
Ma'assalam",737,34,.........,21:25:00,2/19/05,98
"<!--QuoteBegin-sunshinez+Feb 20 2005, 10:33 AM--",988,27,I Think I Feel Lonely,15:04:00,2/20/05,99
"<!--QuoteBegin-Batoota+Feb 20 2005, 03:56 PM--",988,27,I Think I Feel Lonely,16:06:00,2/20/05,100
"Assalamu Alaykum,
Alright,
i wont go into too much details about me fantasy, but basically they
are jihad fantisies. I imagine how the great jihad will take place, how
the muslims will win insha Allah and rule the whole world, and
establish the greatest empire once again!!!
So usually my
fatasies are about islamic stuff. The bad part of it is sometimes the
fantasies are a bit worldly rather than concentrating in the hereafter.
Do i need to clarify anything further???
Ma'assalam :biggrin:",988,27,I Think I Feel Lonely,16:16:00,2/20/05,101
"Assalamu Alaykum,
I
can imagine how you feel, how the teacher might think in a certain way
about you bcos you sak question while others have gotten it or pretend
to have gotten it. Ya that's what it is, many pretend they get things
in class so that they don't look stupid, nut the reports, trsts and
exams show the true colours. So you who is bothered i imagine get much
higher marks than those who aren't bothered. It's a pity though that
some teacher's don't welcome questions. They might answer sometimes but
the expression on their face or body language can tell you otherwise. 
so
as you have been told already. forget the teacher's aren't doing what
their suppose to do and ask them whatever you like. If they don't
satisfy you, tell them your not satisfied with the way the answer your
questions. If still, report to prefect council, or your form tutor or
any other authority that can do something about it.
Hope this helps
Ma'assalam",518,26,Last Year In Grade 12,16:46:00,2/20/05,102
"Assalamu Alaykum,
I answered sisQamr's question, but for some reason it didnt appear on the page <img src=""all%20posts%20by%20FAROUK1986%20-%20page8_files/no.gif"" style=""vertical-align: middle;"" border=""0"" alt=""no.gif"" emoid="":no:"" /",721,12,When Friends Hurt Each Other,18:58:00,2/20/05,103
"<!--QuoteBegin-Rahim+Feb 19 2005, 10:02 PM--",735,6,Best Food For Salah,19:11:00,2/20/05,104
"Assalamu Alaykum
Fantasy
and reality... Sunshinez i don't know about you but for me, , i believe
insha Allah i will realise my goals and dreams, by the power and might
of Allah, out of his mercy, if it is best. I agree there is no point of
thinking about something if there's no chance of realising. You know
the hadith that the prophet (s) said Allah said' I am as my slave
thinks i am. I can do for him what my slave believes i can do for
him/her.' I believe Allah can enable me to realise my dreams. So
everything is under his control and hasbunallahu wan'imal wakeel(He is
the best disposer of all affairs). 
You just pray for me Okay. Pray for me hard.
Thanks
sister Batoota. You also pray for me hard. And to your question, i'll
leave you to answer that. i think you know the answer.
Thanks sisters
Ma'assalam",988,27,I Think I Feel Lonely,19:38:00,2/20/05,105
"Assalamu Alaykum
May
Allah help you thbrough all your going through. Wanted to ask, how do
youm know you have a jinn? Usually the believe you have a jinn can make
one sit down and do nothing and attribute all their problems to the
jinn. It is tue that the jinn exist as they are mentioned in the quran,
but realise that a jinn can only do to you what Allah wills it to do. 
Recite
surat Baqarah, it protecxts against all sought of evils like magic and
jinn. Recite Ayatul Kursiyyu, that is surah 2 (Baqarah) ayat 255
everyday. It is like a shield and protection. Also recite 3 times
eachsurat Nas, falaq and Ikhlas, that is surat 114, 113 and 112. There
is none like them as the prophet (s) said.
I'm happy to hear
your trying hard to be a good muslim, and this has made you lonely and
lose friends. That was my problem too when i came to IF. What you need
is someone to talk to right? but its hard to dind one. You can try
islamic centers, masjid... You can contact me MSN if you want to talk
as your feeling lonely by adding me contact umarm21[at]hotmail.com. You
can hang around in the forums in IF, they could be very beneficial and
helpful.
About the problems with your family, i advise you to
stay patient and stick to Islam. Contact professional muslim
counsellors at www.islamonline.net (cyber counselling section)
If you have any queries, just contact me. I hope i can be of any help.
Hope all goes well with you. Tell us how it goes with you as well. 
Ma'assalam",313,6,...sigh...,20:05:00,2/20/05,106
"Assalamu Alaykum,
Crystal
Eyes- Calm down, calm down. Take it easy on me. I bet i could make you
cry if i went on and on about Arsenal. But nah. I'll just leave your
crystal eyes to shine for the moment until Bayer Leverkeusen make you
cry!!!cry <img src=""all%20posts%20by%20FAROUK1986%20-%20page7_files/cry.gif"" style=""vertical-align: middle;"" border=""0"" alt=""cry.gif"" emoid="":cry:"" /",9619,497,Football,20:27:00,2/20/05,107
"<!--QuoteBegin-Mohammad ibn Naeem+Feb 6 2005, 03:50 AM--",1003,29,...Some guy at my skool,20:32:00,2/20/05,108
"Assalamu Allaykum
Just made a mistake in the post b4 this. Let me just correct it straight away.
'May Allah reward you brother Muhammad Na'eem and Madina for your efforts.Ameen'
Ma'assalam",1003,29,...Some guy at my skool,20:50:00,2/20/05,109
"<!--QuoteBegin-property_of_allah+Feb 9 2005, 06:39 PM--",484,8,Profile,21:09:00,2/20/05,110
"<!--QuoteBegin-sunshinez+Feb 20 2005, 05:34 PM--",988,27,I Think I Feel Lonely,21:16:00,2/20/05,111
